"|","||","|||","|||__t2","|||__hr","|||__pp","|||__cl","|||__ws","|||__wd"
"","","12","11.9","74.62","0.0","99.88","5.09","303.38"
"","","13","12.48","67.71","0.0","98.16","5.3","301.29"
"","","14","14.2","60.82","0.0","85.27","5.74","303.1"
"","","15","13.9","62.54","0.0","90.44","5.81","310.16"
"","","16","13.42","63.46","0.0","89.57","5.74","316.44"
"","","17","12.91","63.69","0.0","88.71","5.49","320.46"
"","","18","11.99","66.45","0.0","96.08","5.1","326.1"
"","","19","10.54","75.0","0.0","97.21","4.33","331.44"
"","","20","9.05","84.24","0.0","81.45","3.44","331.02"
"","","21","8.09","90.17","0.0","80.31","3.25","334.44"
"","","22","7.53","93.22","0.0","82.19","3.25","340.73"
"","","23","7.26","94.16","0.0","78.92","3.07","347.46"
"","20190605","0","7.07","94.32","0.0","73.54","2.94","350.39"
"","","1","6.81","94.29","0.0","70.18","3.06","357.33"
"","","2","6.45","93.55","0.0","61.88","3.12","8.46"
"","","3","6.02","92.37","0.0","51.0","3.01","17.51"
"","","4","5.61","92.28","0.0","40.88","2.48","24.13"
"","","5","5.15","93.41","0.0","32.64","2.0","27.43"
"","","6","5.82","89.34","0.0","25.12","2.14","30.22"
"","","7","8.35","72.02","0.0","0.03","2.13","20.46"
"","","8","10.51","59.46","0.0","10.7","1.21","356.69"
"","","9","12.47","51.1","0.0","8.41","0.73","326.04"
"","","10","13.87","47.64","0.0","14.03","1.02","283.54"
"","","11","15.02","45.15","0.0","0.0","1.76","273.0"
"","","12","16.18","43.16","0.0","0.0","2.32","265.13"
"","","13","16.87","43.5","0.0","0.0","2.61","263.57"
"","","14","17.28","44.77","0.0","0.0","2.76","265.8"
"","","15","17.47","46.28","0.0","0.0","2.88","270.77"
"","","16","17.33","47.88","0.0","0.0","3.02","277.04"
"","","17","16.84","49.8","0.0","0.0","3.09","280.44"
"","","18","15.67","54.68","0.0","0.0","3.5","284.78"
"","","19","13.66","63.18","0.0","0.1","3.68","294.04"
"","","20","11.25","75.86","0.0","1.63","3.22","311.49"
"","","21","9.91","81.73","0.0","7.06","2.86","338.93"
"","","22","9.24","85.61","0.0","10.53","2.11","354.61"
"","","23","8.72","90.51","0.0","4.31","1.28","5.77"
"VilarPerdizes","20190530","0","12.94","69.46","0.0","0.0","1.07","78.97"
"","","1","11.86","85.94","0.0","0.0","0.82","112.8"
"","","2","11.01","87.24","0.0","0.0","1.44","126.77"
"","","3","10.43","89.17","0.0","0.0","1.48","142.52"
"","","4","9.96","91.05","0.0","0.26","1.45","146.3"
"","","5","9.51","91.98","0.0","1.66","1.32","148.82"
"","","6","10.05","90.76","0.0","1.37","1.16","154.31"
"","","7","12.97","71.97","0.0","0.0","2.7","137.36"
"","","8","15.22","62.91","0.0","0.0","3.29","133.67"
"","","9","17.51","55.74","0.0","0.0","3.49","133.04"
"","","10","19.64","50.29","0.0","0.0","3.51","131.52"
"","","11","21.54","45.77","0.0","0.0","3.24","126.18"
"","","12","23.22","41.52","0.0","0.0","2.72","120.19"
"","","13","24.5","38.8","0.0","0.0","2.48","107.47"
"","","14","25.45","36.74","0.0","0.0","2.54","95.4"
"","","15","26.05","35.76","0.0","0.0","2.38","89.17"
"","","16","26.32","35.3","0.0","0.0","2.08","85.81"
"","","17","26.26","35.62","0.0","0.0","1.77","77.7"
"","","18","25.77","37.3","0.0","0.0","1.59","57.6"
"","","19","24.87","56.9","0.0","0.0","1.18","28.67"
"","","20","21.81","73.55","0.0","0.0","1.1","5.9"
"","","21","20.07","76.46","0.0","0.0","1.51","7.59"
"","","22","18.79","79.51","0.0","0.0","1.37","12.19"
"","","23","17.84","80.87","0.0","0.0","0.79","358.7"
"","20190531","0","17.16","80.78","0.0","0.0","0.49","336.41"
"","","1","16.6","79.92","0.0","0.0","0.15","359.27"
"","","2","15.9","79.36","0.0","0.0","1.22","107.55"
"","","3","14.81","81.67","0.0","0.0","2.26","114.38"
"","","4","13.97","86.24","0.0","0.0","1.69","127.76"
"","","5","13.43","88.77","0.0","0.0","1.38","146.4"
"","","6","14.0","88.74","0.0","0.0","1.13","160.69"
"","","7","16.81","69.9","0.0","0.0","2.33","138.95"
"","","8","19.04","60.22","0.0","0.0","2.84","135.12"
"","","9","21.24","52.59","0.0","0.0","3.12","136.91"
"","","10","23.2","46.52","0.0","0.0","3.27","137.04"
"","","11","24.81","41.91","0.0","0.0","3.04","140.56"
"","","12","26.15","37.04","0.0","0.0","2.56","135.27"
"","","13","27.08","34.23","0.0","0.0","2.19","123.69"
"","","14","27.73","32.73","0.0","0.0","1.98","114.93"
"","","15","28.11","32.13","0.0","0.0","1.89","103.26"
"","","16","28.19","32.07","0.0","0.0","1.87","88.95"
"","","17","27.95","32.9","0.0","0.0","1.97","73.33"
"","","18","27.31","35.42","0.0","0.0","2.12","61.05"
"","","19","26.19","52.1","0.0","0.0","1.71","36.6"
"","","20","23.08","68.25","0.0","0.0","2.54","339.09"
"","","21","20.87","67.6","0.0","0.0","4.72","325.44"
"","","22","19.71","68.21","0.0","0.0","5.1","325.28"
"","","23","18.86","71.98","0.0","0.0","4.49","328.36"
"","20190601","0","18.17","77.14","0.0","0.0","3.46","326.17"
"","","1","17.45","82.5","0.0","0.0","2.44","325.23"
"","","2","17.01","82.25","0.0","0.0","2.05","322.14"
"","","3","16.65","81.84","0.0","0.0","1.75","316.31"
"","","4","16.34","81.62","0.0","0.0","1.38","308.71"
"","","5","16.05","81.55","0.0","0.0","0.92","298.55"
"","","6","16.5","81.24","0.0","0.0","0.53","284.78"
"","","7","19.71","61.4","0.0","0.0","0.32","252.94"
"","","8","21.94","48.35","0.0","0.0","0.93","166.27"
"","","9","24.25","42.6","0.0","0.0","1.68","182.13"
"","","10","26.2","37.86","0.0","0.0","2.28","189.41"
"","","11","27.55","35.48","0.0","0.0","2.61","200.12"
"","","12","28.39","34.51","0.0","0.0","2.92","212.21"
"","","13","28.84","34.13","0.0","0.0","3.07","223.16"
"","","14","29.03","33.93","0.0","0.0","3.04","234.21"
"","","15","28.95","34.0","0.0","0.0","2.91","247.99"
"","","16","28.58","34.53","0.0","0.0","2.84","265.01"
"","","17","27.84","36.17","0.0","0.0","2.97","282.92"
"","","18","26.52","40.36","0.0","0.0","3.44","298.71"
"","","19","24.6","51.28","0.0","0.0","3.46","312.87"
"","","20","21.67","63.71","0.0","0.0","3.29","318.58"
"","","21","19.88","65.51","0.0","0.0","3.47","316.8"
