Date;Deaths
01/01/2009;423
02/01/2009;435
03/01/2009;416
04/01/2009;380
05/01/2009;446
06/01/2009;408
07/01/2009;391
08/01/2009;404
09/01/2009;373
10/01/2009;382
11/01/2009;448
12/01/2009;429
13/01/2009;417
14/01/2009;386
15/01/2009;402
16/01/2009;419
17/01/2009;372
18/01/2009;396
19/01/2009;429
20/01/2009;391
21/01/2009;392
22/01/2009;368
23/01/2009;386
24/01/2009;364
25/01/2009;369
26/01/2009;368
27/01/2009;370
28/01/2009;352
29/01/2009;368
30/01/2009;336
31/01/2009;317
01/02/2009;356
02/02/2009;381
03/02/2009;355
04/02/2009;311
05/02/2009;333
06/02/2009;356
07/02/2009;294
08/02/2009;327
09/02/2009;391
10/02/2009;335
11/02/2009;369
12/02/2009;350
13/02/2009;355
14/02/2009;313
15/02/2009;338
16/02/2009;346
17/02/2009;348
18/02/2009;317
19/02/2009;285
20/02/2009;321
21/02/2009;316
22/02/2009;311
23/02/2009;358
24/02/2009;356
25/02/2009;359
26/02/2009;364
27/02/2009;358
28/02/2009;324
01/03/2009;347
02/03/2009;328
03/03/2009;327
04/03/2009;304
05/03/2009;323
06/03/2009;331
07/03/2009;299
08/03/2009;297
09/03/2009;347
10/03/2009;294
11/03/2009;313
12/03/2009;300
13/03/2009;342
14/03/2009;302
15/03/2009;330
16/03/2009;315
17/03/2009;294
18/03/2009;308
19/03/2009;289
20/03/2009;300
21/03/2009;282
22/03/2009;279
23/03/2009;306
24/03/2009;308
25/03/2009;284
26/03/2009;280
27/03/2009;277
28/03/2009;275
29/03/2009;255
30/03/2009;282
31/03/2009;268
01/04/2009;286
02/04/2009;285
03/04/2009;294
04/04/2009;272
05/04/2009;268
06/04/2009;286
07/04/2009;283
08/04/2009;294
09/04/2009;279
10/04/2009;257
11/04/2009;286
12/04/2009;255
13/04/2009;301
14/04/2009;296
15/04/2009;287
16/04/2009;248
17/04/2009;288
18/04/2009;298
19/04/2009;266
20/04/2009;277
21/04/2009;298
22/04/2009;285
23/04/2009;299
24/04/2009;315
25/04/2009;274
26/04/2009;272
